=== Shot zones ===
compute_shot_zone_breakdown: player 1630173 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203500 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1628389 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630534 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630583 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1641725 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1629638 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628960 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628386 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630631 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203937 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630828 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203507 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203648 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630175 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628384 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630166 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629028 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628963 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642846 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642380 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631116 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630163 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628366 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628964 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631094 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630217 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630625 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631230 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203084 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630567 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642964 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629628 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629646 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642419 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201587 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203078 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630699 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642866 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630180 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629048 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 202687 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641710 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641778 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631205 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203992 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641737 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1626164 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628449 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631123 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628396 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631103 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631128 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642886 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628969 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628970 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628415 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641780 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628971 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642468 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1627759 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641738 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628973 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642868 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628418 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641723 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631174 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 202710 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641824 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631288 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203484 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641739 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203991 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642928 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642382 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642267 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642269 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628975 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628976 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1627936 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642264 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630658 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630577 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630551 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631113 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642353 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631108 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630619 failed: Expecting value: line 1 column 1 (char 0)
